,Name,Photo,Nationality,Flag,Overall,Potential,Club,Club Logo,Value,Wage,Special,ID
9,RW,https://cdn.sofifa.net/players/240/950/22_60.png,,https://cdn.sofifa.net/flags/pt.png,81,88,Sporting CP,https://cdn.sofifa.net/teams/237/30.png,€51.5M,€19K,2089,240950
10,CDM,https://cdn.sofifa.net/players/236/480/22_60.png,,https://cdn.sofifa.net/flags/ml.png,81,86,Brighton & Hove Albion,https://cdn.sofifa.net/teams/1808/30.png,€35.5M,€57K,2135,236480
10,CDM,https://cdn.sofifa.net/players/236/480/22_60.png,,https://cdn.sofifa.net/flags/ml.png,81,86,Brighton & Hove Albion,https://cdn.sofifa.net/teams/1808/30.png,€35.5M,€57K,2135,236480
11,CM,https://cdn.sofifa.net/players/264/240/22_60.png,,https://cdn.sofifa.net/flags/es.png,77,89,FC Barcelona,https://cdn.sofifa.net/teams/241/30.png,€24M,€14K,1970,264240
11,CM,https://cdn.sofifa.net/players/264/240/22_60.png,,https://cdn.sofifa.net/flags/es.png,77,89,FC Barcelona,https://cdn.sofifa.net/teams/241/30.png,€24M,€14K,1970,264240
12,CB,https://cdn.sofifa.net/players/244/749/22_60.png,,https://cdn.sofifa.net/flags/ma.png,79,83,Stade Rennais FC,https://cdn.sofifa.net/teams/74/30.png,€22M,€45K,1890,244749
12,CB,https://cdn.sofifa.net/players/244/749/22_60.png,,https://cdn.sofifa.net/flags/ma.png,79,83,Stade Rennais FC,https://cdn.sofifa.net/teams/74/30.png,€22M,€45K,1890,244749
13,CAM,https://cdn.sofifa.net/players/244/112/22_60.png,,https://cdn.sofifa.net/flags/gh.png,74,77,FC St. Pauli,https://cdn.sofifa.net/teams/110329/30.png,€5.5M,€16K,1766,244112
13,CAM,https://cdn.sofifa.net/players/244/112/22_60.png,,https://cdn.sofifa.net/flags/gh.png,74,77,FC St. Pauli,https://cdn.sofifa.net/teams/110329/30.png,€5.5M,€16K,1766,244112
14,CM,https://cdn.sofifa.net/players/247/090/22_60.png,,https://cdn.sofifa.net/flags/ar.png,77,86,River Plate,https://cdn.sofifa.net/teams/1876/30.png,€23M,€14K,2114,247090
14,CM,https://cdn.sofifa.net/players/247/090/22_60.png,,https://cdn.sofifa.net/flags/ar.png,77,86,River Plate,https://cdn.sofifa.net/teams/1876/30.png,€23M,€14K,2114,247090
15,ST,https://cdn.sofifa.net/players/239/373/22_60.png,,https://cdn.sofifa.net/flags/nl.png,73,79,Fortuna Sittard,https://cdn.sofifa.net/teams/634/30.png,€4.9M,€11K,1983,239373
15,ST,https://cdn.sofifa.net/players/239/373/22_60.png,,https://cdn.sofifa.net/flags/nl.png,73,79,Fortuna Sittard,https://cdn.sofifa.net/teams/634/30.png,€4.9M,€11K,1983,239373
16,ST,https://cdn.sofifa.net/players/251/470/22_60.png,,https://cdn.sofifa.net/flags/be.png,77,87,Club Brugge KV,https://cdn.sofifa.net/teams/231/30.png,€23.5M,€22K,2055,251470
16,ST,https://cdn.sofifa.net/players/251/470/22_60.png,,https://cdn.sofifa.net/flags/be.png,77,87,Club Brugge KV,https://cdn.sofifa.net/teams/231/30.png,€23.5M,€22K,2055,251470
17,ST,https://cdn.sofifa.net/players/240/833/22_60.png,,https://cdn.sofifa.net/flags/de.png,69,89,Borussia Dortmund,https://cdn.sofifa.net/teams/22/30.png,€3.8M,€5K,1725,240833
17,ST,https://cdn.sofifa.net/players/240/833/22_60.png,,https://cdn.sofifa.net/flags/de.png,69,89,Borussia Dortmund,https://cdn.sofifa.net/teams/22/30.png,€3.8M,€5K,1725,240833
18,ST,https://cdn.sofifa.net/players/239/085/22_60.png,,https://cdn.sofifa.net/flags/no.png,88,94,Borussia Dortmund,https://cdn.sofifa.net/teams/22/30.png,€143.5M,€110K,2120,239085
18,ST,https://cdn.sofifa.net/players/239/085/22_60.png,,https://cdn.sofifa.net/flags/no.png,88,94,Borussia Dortmund,https://cdn.sofifa.net/teams/22/30.png,€143.5M,€110K,2120,239085
19,RW,https://cdn.sofifa.net/players/236/918/22_60.png,,https://cdn.sofifa.net/flags/dk.png,73,79,FC Midtjylland,https://cdn.sofifa.net/teams/1516/30.png,€4.8M,€21K,1879,236918
19,RW,https://cdn.sofifa.net/players/236/918/22_60.png,,https://cdn.sofifa.net/flags/dk.png,73,79,FC Midtjylland,https://cdn.sofifa.net/teams/1516/30.png,€4.8M,€21K,1879,236918
20,LW,https://cdn.sofifa.net/players/208/722/22_60.png,,https://cdn.sofifa.net/flags/sn.png,89,89,Liverpool,https://cdn.sofifa.net/teams/9/30.png,€101M,€270K,2189,208722
20,LW,https://cdn.sofifa.net/players/208/722/22_60.png,,https://cdn.sofifa.net/flags/sn.png,89,89,Liverpool,https://cdn.sofifa.net/teams/9/30.png,€101M,€270K,2189,208722
21,CB,https://cdn.sofifa.net/players/216/778/22_60.png,,https://cdn.sofifa.net/flags/pt.png,76,77,FC Porto,https://cdn.sofifa.net/teams/236/30.png,€7.5M,€1K,1781,216778
21,CB,https://cdn.sofifa.net/players/216/778/22_60.png,,https://cdn.sofifa.net/flags/pt.png,76,77,FC Porto,https://cdn.sofifa.net/teams/236/30.png,€7.5M,€1K,1781,216778
22,GK,https://cdn.sofifa.net/players/243/585/22_60.png,,https://cdn.sofifa.net/flags/ie.png,69,85,Portsmouth,https://cdn.sofifa.net/teams/1790/30.png,€3.2M,€13K,1013,243585
22,GK,https://cdn.sofifa.net/players/243/585/22_60.png,,https://cdn.sofifa.net/flags/ie.png,69,85,Portsmouth,https://cdn.sofifa.net/teams/1790/30.png,€3.2M,€13K,1013,243585
23,LB,https://cdn.sofifa.net/players/239/231/22_60.png,,https://cdn.sofifa.net/flags/es.png,80,85,Brighton & Hove Albion,https://cdn.sofifa.net/teams/1808/30.png,€30M,€53K,2106,239231
23,LB,https://cdn.sofifa.net/players/239/231/22_60.png,,https://cdn.sofifa.net/flags/es.png,80,85,Brighton & Hove Albion,https://cdn.sofifa.net/teams/1808/30.png,€30M,€53K,2106,239231
24,CM,https://cdn.sofifa.net/players/252/371/22_60.png,,https://cdn.sofifa.net/flags/gb-eng.png,82,90,Borussia Dortmund,https://cdn.sofifa.net/teams/22/30.png,€64M,€25K,2152,252371
24,CM,https://cdn.sofifa.net/players/252/371/22_60.png,,https://cdn.sofifa.net/flags/gb-eng.png,82,90,Borussia Dortmund,https://cdn.sofifa.net/teams/22/30.png,€64M,€25K,2152,252371
25,CM,https://cdn.sofifa.net/players/162/895/22_60.png,,https://cdn.sofifa.net/flags/es.png,75,75,AS Monaco,https://cdn.sofifa.net/teams/69/30.png,€2.6M,€42K,1880,162895
25,CM,https://cdn.sofifa.net/players/162/895/22_60.png,,https://cdn.sofifa.net/flags/es.png,75,75,AS Monaco,https://cdn.sofifa.net/teams/69/30.png,€2.6M,€42K,1880,162895
26,CM,https://cdn.sofifa.net/players/246/104/22_60.png,,https://cdn.sofifa.net/flags/nl.png,78,90,Ajax,https://cdn.sofifa.net/teams/245/30.png,€33M,€11K,2085,246104
26,CM,https://cdn.sofifa.net/players/246/104/22_60.png,,https://cdn.sofifa.net/flags/nl.png,78,90,Ajax,https://cdn.sofifa.net/teams/245/30.png,€33M,€11K,2085,246104
27,CM,https://cdn.sofifa.net/players/241/637/22_60.png,,https://cdn.sofifa.net/flags/fr.png,81,88,AS Monaco,https://cdn.sofifa.net/teams/69/30.png,€52M,€46K,2141,241637
27,CM,https://cdn.sofifa.net/players/241/637/22_60.png,,https://cdn.sofifa.net/flags/fr.png,81,88,AS Monaco,https://cdn.sofifa.net/teams/69/30.png,€52M,€46K,2141,241637
28,ST,https://cdn.sofifa.net/players/230/978/22_60.png,,https://cdn.sofifa.net/flags/ng.png,76,79,1. FC Union Berlin,https://cdn.sofifa.net/teams/1831/30.png,€10.5M,€28K,1824,230978
28,ST,https://cdn.sofifa.net/players/230/978/22_60.png,,https://cdn.sofifa.net/flags/ng.png,76,79,1. FC Union Berlin,https://cdn.sofifa.net/teams/1831/30.png,€10.5M,€28K,1824,230978
29,CAM,https://cdn.sofifa.net/players/256/725/22_60.png,,https://cdn.sofifa.net/flags/pt.png,73,86,Fulham,https://cdn.sofifa.net/teams/144/30.png,€7M,€15K,1784,256725
29,CAM,https://cdn.sofifa.net/players/256/725/22_60.png,,https://cdn.sofifa.net/flags/pt.png,73,86,Fulham,https://cdn.sofifa.net/teams/144/30.png,€7M,€15K,1784,256725
30,CB,https://cdn.sofifa.net/players/261/360/22_60.png,,https://cdn.sofifa.net/flags/be.png,64,88,Club Brugge KV,https://cdn.sofifa.net/teams/231/30.png,€1.7M,€500,1546,261360
30,CB,https://cdn.sofifa.net/players/261/360/22_60.png,,https://cdn.sofifa.net/flags/be.png,64,88,Club Brugge KV,https://cdn.sofifa.net/teams/231/30.png,€1.7M,€500,1546,261360
31,CM,https://cdn.sofifa.net/players/251/854/22_60.png,,https://cdn.sofifa.net/flags/es.png,84,92,FC Barcelona,https://cdn.sofifa.net/teams/241/30.png,€88.5M,€66K,2096,251854
31,CM,https://cdn.sofifa.net/players/251/854/22_60.png,,https://cdn.sofifa.net/flags/es.png,84,92,FC Barcelona,https://cdn.sofifa.net/teams/241/30.png,€88.5M,€66K,2096,251854
32,CB,https://cdn.sofifa.net/players/262/138/22_60.png,,https://cdn.sofifa.net/flags/fr.png,75,86,Olympique Lyonnais,https://cdn.sofifa.net/teams/66/30.png,€11M,€13K,1836,262138
32,CB,https://cdn.sofifa.net/players/262/138/22_60.png,,https://cdn.sofifa.net/flags/fr.png,75,86,Olympique Lyonnais,https://cdn.sofifa.net/teams/66/30.png,€11M,€13K,1836,262138
33,CB,https://cdn.sofifa.net/players/251/805/22_60.png,,https://cdn.sofifa.net/flags/nl.png,79,88,Ajax,https://cdn.sofifa.net/teams/245/30.png,€36M,€13K,1935,251805
33,CB,https://cdn.sofifa.net/players/251/805/22_60.png,,https://cdn.sofifa.net/flags/nl.png,79,88,Ajax,https://cdn.sofifa.net/teams/245/30.png,€36M,€13K,1935,251805
34,ST,https://cdn.sofifa.net/players/239/125/22_60.png,,https://cdn.sofifa.net/flags/no.png,68,77,FK Bodø/Glimt,https://cdn.sofifa.net/teams/918/30.png,€2.7M,€2K,1621,239125
34,ST,https://cdn.sofifa.net/players/239/125/22_60.png,,https://cdn.sofifa.net/flags/no.png,68,77,FK Bodø/Glimt,https://cdn.sofifa.net/teams/918/30.png,€2.7M,€2K,1621,239125
35,LW,https://cdn.sofifa.net/players/241/721/22_60.png,,https://cdn.sofifa.net/flags/pt.png,82,90,AC Milan,https://cdn.sofifa.net/teams/47/30.png,€68.5M,€52K,1959,241721
35,LW,https://cdn.sofifa.net/players/241/721/22_60.png,,https://cdn.sofifa.net/flags/pt.png,82,90,AC Milan,https://cdn.sofifa.net/teams/47/30.png,€68.5M,€52K,1959,241721
36,LWB,https://cdn.sofifa.net/players/236/703/22_60.png,,https://cdn.sofifa.net/flags/de.png,79,83,TSG Hoffenheim,https://cdn.sofifa.net/teams/10029/30.png,€23.5M,€32K,2022,236703
36,LWB,https://cdn.sofifa.net/players/236/703/22_60.png,,https://cdn.sofifa.net/flags/de.png,79,83,TSG Hoffenheim,https://cdn.sofifa.net/teams/10029/30.png,€23.5M,€32K,2022,236703
37,CB,https://cdn.sofifa.net/players/251/517/22_60.png,,https://cdn.sofifa.net/flags/hr.png,79,89,RB Leipzig,https://cdn.sofifa.net/teams/112172/30.png,€35.5M,€35K,2017,251517
37,CB,https://cdn.sofifa.net/players/251/517/22_60.png,,https://cdn.sofifa.net/flags/hr.png,79,89,RB Leipzig,https://cdn.sofifa.net/teams/112172/30.png,€35.5M,€35K,2017,251517
38,ST,https://cdn.sofifa.net/players/226/710/22_60.png,,https://cdn.sofifa.net/flags/it.png,78,84,U.S. Sassuolo Calcio,https://cdn.sofifa.net/teams/111974/30.png,€23M,€34K,1856,226710
38,ST,https://cdn.sofifa.net/players/226/710/22_60.png,,https://cdn.sofifa.net/flags/it.png,78,84,U.S. Sassuolo Calcio,https://cdn.sofifa.net/teams/111974/30.png,€23M,€34K,1856,226710
39,ST,https://cdn.sofifa.net/players/246/430/22_60.png,,https://cdn.sofifa.net/flags/rs.png,83,90,Juventus,https://cdn.sofifa.net/teams/45/30.png,€74.5M,€85K,1874,246430
39,ST,https://cdn.sofifa.net/players/246/430/22_60.png,,https://cdn.sofifa.net/flags/rs.png,83,90,Juventus,https://cdn.sofifa.net/teams/45/30.png,€74.5M,€85K,1874,246430
40,CAM,https://cdn.sofifa.net/players/232/411/22_60.png,,https://cdn.sofifa.net/flags/fr.png,86,89,RB Leipzig,https://cdn.sofifa.net/teams/112172/30.png,€93M,€110K,2199,232411
40,CAM,https://cdn.sofifa.net/players/232/411/22_60.png,,https://cdn.sofifa.net/flags/fr.png,86,89,RB Leipzig,https://cdn.sofifa.net/teams/112172/30.png,€93M,€110K,2199,232411
41,ST,https://cdn.sofifa.net/players/251/852/22_60.png,,https://cdn.sofifa.net/flags/de.png,74,87,FC Red Bull Salzburg,https://cdn.sofifa.net/teams/191/30.png,€10M,€16K,1894,251852
41,ST,https://cdn.sofifa.net/players/251/852/22_60.png,,https://cdn.sofifa.net/flags/de.png,74,87,FC Red Bull Salzburg,https://cdn.sofifa.net/teams/191/30.png,€10M,€16K,1894,251852
42,CM,https://cdn.sofifa.net/players/253/124/22_60.png,,https://cdn.sofifa.net/flags/pt.png,79,86,Sporting CP,https://cdn.sofifa.net/teams/237/30.png,€35.5M,€15K,2102,253124
42,CM,https://cdn.sofifa.net/players/253/124/22_60.png,,https://cdn.sofifa.net/flags/pt.png,79,86,Sporting CP,https://cdn.sofifa.net/teams/237/30.png,€35.5M,€15K,2102,253124
43,ST,https://cdn.sofifa.net/players/246/728/22_60.png,,https://cdn.sofifa.net/flags/bf.png,74,84,Shakhtar Donetsk,https://cdn.sofifa.net/teams/101059/30.png,€9.5M,€750,1768,246728
43,ST,https://cdn.sofifa.net/players/246/728/22_60.png,,https://cdn.sofifa.net/flags/bf.png,74,84,Shakhtar Donetsk,https://cdn.sofifa.net/teams/101059/30.png,€9.5M,€750,1768,246728
44,RW,https://cdn.sofifa.net/players/158/023/22_60.png,,https://cdn.sofifa.net/flags/ar.png,92,92,Paris Saint-Germain,https://cdn.sofifa.net/teams/73/30.png,€69.5M,€290K,2206,158023
44,RW,https://cdn.sofifa.net/players/158/023/22_60.png,,https://cdn.sofifa.net/flags/ar.png,92,92,Paris Saint-Germain,https://cdn.sofifa.net/teams/73/30.png,€69.5M,€290K,2206,158023
45,CB,https://cdn.sofifa.net/players/241/486/22_60.png,,https://cdn.sofifa.net/flags/fr.png,83,89,Sevilla FC,https://cdn.sofifa.net/teams/481/30.png,€53M,€33K,1916,241486
45,CB,https://cdn.sofifa.net/players/241/486/22_60.png,,https://cdn.sofifa.net/flags/fr.png,83,89,Sevilla FC,https://cdn.sofifa.net/teams/481/30.png,€53M,€33K,1916,241486
46,RW,https://cdn.sofifa.net/players/255/475/22_60.png,,https://cdn.sofifa.net/flags/br.png,82,89,Ajax,https://cdn.sofifa.net/teams/245/30.png,€62M,€21K,2005,255475
46,RW,https://cdn.sofifa.net/players/255/475/22_60.png,,https://cdn.sofifa.net/flags/br.png,82,89,Ajax,https://cdn.sofifa.net/teams/245/30.png,€62M,€21K,2005,255475
47,LM,https://cdn.sofifa.net/players/256/790/22_60.png,,https://cdn.sofifa.net/flags/de.png,79,89,FC Bayern München,https://cdn.sofifa.net/teams/21/30.png,€37M,€26K,1957,256790
47,LM,https://cdn.sofifa.net/players/256/790/22_60.png,,https://cdn.sofifa.net/flags/de.png,79,89,FC Bayern München,https://cdn.sofifa.net/teams/21/30.png,€37M,€26K,1957,256790
48,CAM,https://cdn.sofifa.net/players/192/318/22_60.png,,https://cdn.sofifa.net/flags/de.png,81,81,PSV,https://cdn.sofifa.net/teams/247/30.png,€25.5M,€26K,2074,192318
48,CAM,https://cdn.sofifa.net/players/192/318/22_60.png,,https://cdn.sofifa.net/flags/de.png,81,81,PSV,https://cdn.sofifa.net/teams/247/30.png,€25.5M,€26K,2074,192318
49,ST,https://cdn.sofifa.net/players/256/476/22_60.png,,https://cdn.sofifa.net/flags/fr.png,70,85,Angers SCO,https://cdn.sofifa.net/teams/1530/30.png,€3.7M,€3K,1653,256476
49,ST,https://cdn.sofifa.net/players/256/476/22_60.png,,https://cdn.sofifa.net/flags/fr.png,70,85,Angers SCO,https://cdn.sofifa.net/teams/1530/30.png,€3.7M,€3K,1653,256476
50,LM,https://cdn.sofifa.net/players/251/566/22_60.png,,https://cdn.sofifa.net/flags/br.png,78,88,Arsenal,https://cdn.sofifa.net/teams/1/30.png,€31M,€56K,1918,251566
50,LM,https://cdn.sofifa.net/players/251/566/22_60.png,,https://cdn.sofifa.net/flags/br.png,78,88,Arsenal,https://cdn.sofifa.net/teams/1/30.png,€31M,€56K,1918,251566
51,RM,https://cdn.sofifa.net/players/254/796/22_60.png,,https://cdn.sofifa.net/flags/gb-eng.png,77,88,PSV,https://cdn.sofifa.net/teams/247/30.png,€23M,€11K,1897,254796
51,RM,https://cdn.sofifa.net/players/254/796/22_60.png,,https://cdn.sofifa.net/flags/gb-eng.png,77,88,PSV,https://cdn.sofifa.net/teams/247/30.png,€23M,€11K,1897,254796
52,CB,https://cdn.sofifa.net/players/257/179/22_60.png,,https://cdn.sofifa.net/flags/pt.png,78,87,Sporting CP,https://cdn.sofifa.net/teams/237/30.png,€28.5M,€8K,1755,257179
52,CB,https://cdn.sofifa.net/players/257/179/22_60.png,,https://cdn.sofifa.net/flags/pt.png,78,87,Sporting CP,https://cdn.sofifa.net/teams/237/30.png,€28.5M,€8K,1755,257179
53,CF,https://cdn.sofifa.net/players/238/067/22_60.png,,https://cdn.sofifa.net/flags/it.png,80,88,Roma,https://cdn.sofifa.net/teams/52/30.png,€47.5M,€49K,2079,238067
53,CF,https://cdn.sofifa.net/players/238/067/22_60.png,,https://cdn.sofifa.net/flags/it.png,80,88,Roma,https://cdn.sofifa.net/teams/52/30.png,€47.5M,€49K,2079,238067
54,LW,https://cdn.sofifa.net/players/239/380/22_60.png,,https://cdn.sofifa.net/flags/nl.png,78,85,Club Brugge KV,https://cdn.sofifa.net/teams/231/30.png,€28.5M,€27K,2012,239380
54,LW,https://cdn.sofifa.net/players/239/380/22_60.png,,https://cdn.sofifa.net/flags/nl.png,78,85,Club Brugge KV,https://cdn.sofifa.net/teams/231/30.png,€28.5M,€27K,2012,239380
55,CB,https://cdn.sofifa.net/players/253/163/22_60.png,,https://cdn.sofifa.net/flags/uy.png,82,89,FC Barcelona,https://cdn.sofifa.net/teams/241/30.png,€57.5M,€125K,1838,253163
55,CB,https://cdn.sofifa.net/players/253/163/22_60.png,,https://cdn.sofifa.net/flags/uy.png,82,89,FC Barcelona,https://cdn.sofifa.net/teams/241/30.png,€57.5M,€125K,1838,253163
56,ST,https://cdn.sofifa.net/players/020/801/22_60.png,,https://cdn.sofifa.net/flags/pt.png,91,91,Manchester United,https://cdn.sofifa.net/teams/11/30.png,€45M,€270K,2188,20801
56,ST,https://cdn.sofifa.net/players/020/801/22_60.png,,https://cdn.sofifa.net/flags/pt.png,91,91,Manchester United,https://cdn.sofifa.net/teams/11/30.png,€45M,€270K,2188,20801
57,CAM,https://cdn.sofifa.net/players/245/541/22_60.png,,https://cdn.sofifa.net/flags/us.png,77,87,Borussia Dortmund,https://cdn.sofifa.net/teams/22/30.png,€22M,€18K,1919,245541
57,CAM,https://cdn.sofifa.net/players/245/541/22_60.png,,https://cdn.sofifa.net/flags/us.png,77,87,Borussia Dortmund,https://cdn.sofifa.net/teams/22/30.png,€22M,€18K,1919,245541
58,ST,https://cdn.sofifa.net/players/246/191/22_60.png,,https://cdn.sofifa.net/flags/ar.png,78,86,River Plate,https://cdn.sofifa.net/teams/1876/30.png,€32M,€87K,2137,246191
58,ST,https://cdn.sofifa.net/players/246/191/22_60.png,,https://cdn.sofifa.net/flags/ar.png,78,86,River Plate,https://cdn.sofifa.net/teams/1876/30.png,€32M,€87K,2137,246191
59,RM,https://cdn.sofifa.net/players/246/669/22_60.png,,https://cdn.sofifa.net/flags/gb-eng.png,82,89,Arsenal,https://cdn.sofifa.net/teams/1/30.png,€59.5M,€58K,2091,246669
59,RM,https://cdn.sofifa.net/players/246/669/22_60.png,,https://cdn.sofifa.net/flags/gb-eng.png,82,89,Arsenal,https://cdn.sofifa.net/teams/1/30.png,€59.5M,€58K,2091,246669
60,RM,https://cdn.sofifa.net/players/233/419/22_60.png,,https://cdn.sofifa.net/flags/br.png,83,86,Leeds United,https://cdn.sofifa.net/teams/8/30.png,€49.5M,€95K,2124,233419
60,RM,https://cdn.sofifa.net/players/233/419/22_60.png,,https://cdn.sofifa.net/flags/br.png,83,86,Leeds United,https://cdn.sofifa.net/teams/8/30.png,€49.5M,€95K,2124,233419
61,CAM,https://cdn.sofifa.net/players/246/174/22_60.png,,https://cdn.sofifa.net/flags/gb-eng.png,73,87,Liverpool,https://cdn.sofifa.net/teams/9/30.png,€7M,€23K,1723,246174
61,CAM,https://cdn.sofifa.net/players/246/174/22_60.png,,https://cdn.sofifa.net/flags/gb-eng.png,73,87,Liverpool,https://cdn.sofifa.net/teams/9/30.png,€7M,€23K,1723,246174
62,RM,https://cdn.sofifa.net/players/259/377/22_60.png,,https://cdn.sofifa.net/flags/es.png,76,87,Villarreal CF,https://cdn.sofifa.net/teams/483/30.png,€16M,€10K,1779,259377
62,RM,https://cdn.sofifa.net/players/259/377/22_60.png,,https://cdn.sofifa.net/flags/es.png,76,87,Villarreal CF,https://cdn.sofifa.net/teams/483/30.png,€16M,€10K,1779,259377
63,RB,https://cdn.sofifa.net/players/203/890/22_60.png,,https://cdn.sofifa.net/flags/hr.png,80,80,Atlético de Madrid,https://cdn.sofifa.net/teams/240/30.png,€18.5M,€56K,2052,203890
63,RB,https://cdn.sofifa.net/players/203/890/22_60.png,,https://cdn.sofifa.net/flags/hr.png,80,80,Atlético de Madrid,https://cdn.sofifa.net/teams/240/30.png,€18.5M,€56K,2052,203890
64,LB,https://cdn.sofifa.net/players/263/578/22_60.png,,https://cdn.sofifa.net/flags/es.png,68,83,FC Barcelona,https://cdn.sofifa.net/teams/241/30.png,€2.6M,€2K,1600,263578
64,LB,https://cdn.sofifa.net/players/263/578/22_60.png,,https://cdn.sofifa.net/flags/es.png,68,83,FC Barcelona,https://cdn.sofifa.net/teams/241/30.png,€2.6M,€2K,1600,263578
65,CB,https://cdn.sofifa.net/players/220/182/22_60.png,,https://cdn.sofifa.net/flags/be.png,78,81,Olympique Lyonnais,https://cdn.sofifa.net/teams/66/30.png,€16.5M,€55K,1860,220182
65,CB,https://cdn.sofifa.net/players/220/182/22_60.png,,https://cdn.sofifa.net/flags/be.png,78,81,Olympique Lyonnais,https://cdn.sofifa.net/teams/66/30.png,€16.5M,€55K,1860,220182
66,RM,https://cdn.sofifa.net/players/251/570/22_60.png,,https://cdn.sofifa.net/flags/fr.png,73,88,Olympique Lyonnais,https://cdn.sofifa.net/teams/66/30.png,€7M,€6K,1718,251570
66,RM,https://cdn.sofifa.net/players/251/570/22_60.png,,https://cdn.sofifa.net/flags/fr.png,73,88,Olympique Lyonnais,https://cdn.sofifa.net/teams/66/30.png,€7M,€6K,1718,251570
67,CM,https://cdn.sofifa.net/players/228/702/22_60.png,,https://cdn.sofifa.net/flags/nl.png,87,92,FC Barcelona,https://cdn.sofifa.net/teams/241/30.png,€119.5M,€210K,2234,228702
67,CM,https://cdn.sofifa.net/players/228/702/22_60.png,,https://cdn.sofifa.net/flags/nl.png,87,92,FC Barcelona,https://cdn.sofifa.net/teams/241/30.png,€119.5M,€210K,2234,228702
68,CM,https://cdn.sofifa.net/players/260/144/22_60.png,,https://cdn.sofifa.net/flags/gb-eng.png,64,85,Arsenal,https://cdn.sofifa.net/teams/1/30.png,€1.8M,€2K,1699,260144
